index,reward,mutated_field,mutated_value,ttl,win_size,sequence_number,user_agent,accept_language,reasoning
1,1,user_agent,sqlmap,,,,,,,"SQL injection automation tool; often detected by ET USER_AGENTS or SQLi payload correlation"
2,1,user_agent,Nikto,,,,,,,"Web vulnerability scanner; frequently matched by ET scanning signatures"
3,1,user_agent,Acunetix,,,,,,,"Commercial web vulnerability scanner; detectable via UA and behavior rules"
4,1,user_agent,Nessus,,,,,,,"Security scanner; sometimes flagged in HTTP scanning detection rules"
5,1,user_agent,OWASP ZAP,,,,,,,"Proxy-based pentest tool; may trigger scanning/anomaly rules"
6,1,user_agent,Burp Suite,,,,,,,"Penetration testing proxy; generally detected via behavioral patterns more than UA alone"
7,1,user_agent,WPScan,,,,,,,"WordPress vulnerability scanner; often detected in CMS scanning rules"
8,1,user_agent,DirBuster,,,,,,,"Directory brute forcing tool; commonly triggers web scanning detection"
9,1,user_agent,gobuster,,,,,,,"Content discovery tool; detection depends on request pattern rather than UA alone"
10,1,user_agent,dirb,,,,,,,"Directory brute force tool; may trigger scanning behavior signatures"
11,1,user_agent,skipfish,,,,,,,"Google web security scanner; older tool often detected by scan signatures"
12,1,user_agent,Nmap Scripting Engine,,,,,,,"Nmap HTTP NSE scripts; detection usually behavior-based, not UA-only"
13,1,user_agent,masscan,,,,,,,"Fast port scanner; HTTP UA not reliable trigger but may appear in correlated alerts"
14,1,user_agent,python-requests,,,,,,,"Generic automation library; rarely blocked unless combined with malicious payloads"
15,1,user_agent,Go-http-client,,,,,,,"Default Go HTTP library; usually not blocked due to high false positive risk"